-DOCSTART- -X- O O
description	O
-DOCSTART- -X- O O
Our	O
Mission	O

As	O
humans	O
,	O
there	O
are	O
few	O
things	O
more	O
exciting	B-PERSONALITY
than	O
meeting	O
someone	O
new	O
.	O
At	O
Tinder	B-COMPANY
,	O
we	O
’re	O
inspired	O
by	O
the	O
challenge	O
of	O
keeping	O
the	O
magic	O
of	O
human	O
connection	O
alive	O
.	O
With	O
tens	O
of	O
millions	O
of	O
users	O
,	O
hundreds	O
of	O
millions	O
of	O
downloads	O
,	O
2	O
+	O
billion	O
swipes	O
per	O
day	O
,	O
20	O
+	O
million	O
matches	O
per	O
day	O
,	O
and	O
a	O
presence	O
in	O
190	O
+	O
countries	O
,	O
our	O
reach	O
is	O
expansive	O
—	O
and	O
rapidly	O
growing	O
.	O

We	O
work	O
together	O
to	O
solve	B-NON TECHINICAL SKILL
complex	I-NON TECHINICAL SKILL
problems	I-NON TECHINICAL SKILL
.	O
Behind	O
the	O
simplicity	O
of	O
every	O
match	O
,	O
we	O
think	O
deeply	O
about	O
human	O
relationships	O
,	O
behavioral	B-EDUCATION
science	I-EDUCATION
,	O
network	B-EDUCATION
economics	I-EDUCATION
,	O
AI	B-EDUCATION
and	O
ML	B-EDUCATION
,	O
online	O
and	O
real	O
-	O
world	O
safety	O
,	O
cultural	O
nuances	O
,	O
loneliness	O
,	O
love	O
,	O
sex	O
,	O
and	O
more	O
.	O

The	O
Team	O

The	O
Data	B-POSITION
Science	I-POSITION
&	I-POSITION
Analytics	I-POSITION
team	O
thrives	O
on	O
data	O
-	O
driven	O
insights	O
to	O
make	O
more	O
informed	O
decisions	O
through	O
our	O
insights	O
into	O
our	O
member	O
’s	O
behavior	O
,	O
preferences	O
,	O
and	O
common	O
trends	O
.	O
We	O
take	O
ownership	O
over	O
the	O
integrity	O
of	O
our	O
data	O
and	O
work	O
to	O
improve	O
data	O
literacy	O
across	O
Tinder	O
.	O

We	O
are	O
seeking	O
a	O
passionate	B-PERSONALITY
and	O
motivated	B-PERSONALITY
Data	B-POSITION
Scientist	I-POSITION
I	O
to	O
join	O
our	O
growing	O
Revenue	O
team	O
.	O
In	O
this	O
role	O
you	O
will	O
partner	O
with	O
Revenue	O
,	O
Product	O
,	O
Marketing	O
,	O
Engineering	O
,	O
and	O
Finance	O
to	O
accelerate	O
improvements	O
to	O
our	O
platform	O
.	O
The	O
ideal	O
candidate	O
is	O
both	O
passionate	B-PERSONALITY
about	O
the	O
intersection	O
of	O
online	O
dating	O
and	O
economics	O
and	O
comfortable	B-PERSONALITY
digging	O
deep	O
into	O
financial	O
data	O
to	O
uncover	B-EXPERIENCE
trends	I-EXPERIENCE
and	I-EXPERIENCE
patterns	I-EXPERIENCE
.	O
This	O
role	O
will	O
operate	O
under	O
the	O
Revenue	O
branch	O
of	O
Tinder	B-COMPANY
and	O
will	O
focus	O
on	O
data	O
related	O
to	O
finance	O
,	O
pricing	O
,	O
and	O
paid	O
-	O
feature	O

conversion	O
.	O

Where	O
you	O
'll	O
work	O
:	O

This	O
position	O
can	O
be	O
located	O
in	O
Los	O
Angeles	O
or	O
San	O
Francisco	O
,	O
CA	O
.	O

In	O
this	O
role	O
,	O
you	O
will	O
:	O

Digest	B-EXPERIENCE
large	I-EXPERIENCE
,	I-EXPERIENCE
complex	I-EXPERIENCE
transaction	I-EXPERIENCE
datasets	I-EXPERIENCE
into	O
distilled	O
analytics	O
that	O
help	O
the	O
business	O
identify	O
new	O
opportunities	O
.	O

Quickly	B-EXPERIENCE
investigate	I-EXPERIENCE
KPI	I-EXPERIENCE
movements	I-EXPERIENCE
in	O
an	O
evolving	O
global	O
dataset	O
,	O
disentangling	O
correlation	O
and	O
causation	O
to	O
communicate	O
resolutions	O
efficiently	O
.	O

Collaborate	B-EXPERIENCE
closely	I-EXPERIENCE
with	I-EXPERIENCE
strategy	I-EXPERIENCE
and	I-EXPERIENCE
finance	I-EXPERIENCE
teams	I-EXPERIENCE
to	O
study	O
worldwide	O
online	O
dating	O
trends	O
and	O
provide	O
detailed	O
market	O
research	O
to	O
guide	O
pricing	O
decisions	O
.	O

Drive	B-EXPERIENCE
ownership	I-EXPERIENCE
of	I-EXPERIENCE
your	I-EXPERIENCE
own	I-EXPERIENCE
projects	I-EXPERIENCE
while	O
balancing	B-EXPERIENCE
speed	I-EXPERIENCE
of	I-EXPERIENCE
execution	I-EXPERIENCE
and	I-EXPERIENCE
business	I-EXPERIENCE
value	I-EXPERIENCE

Be	O
an	O
authority	O
on	O
where	O
and	O
how	O
to	O
organize	O
our	O
data	O
and	O
readily	O
share	O
insights	O
with	O
data	O
scientists	O
,	O
product	O
managers	O
,	O
and	O
finance	O
leaders	O
as	O
well	O
as	O
at	O
a	O
company	O
level	O
.	O

Define	B-EXPERIENCE
and	I-EXPERIENCE
operationalize	I-EXPERIENCE
the	I-EXPERIENCE
detailed	I-EXPERIENCE
tracking	I-EXPERIENCE
of	I-EXPERIENCE
company	I-EXPERIENCE
-	O
wide	O
,	O
team	O
-	O
specific	O
,	O
and	O
product	O
-	O
specific	O
performance	O
metrics	O
via	O
rollout	O
tables	O
,	O
dashboards	O
,	O
and	O
automated	O
reporting	O
.	O

Skills	O
Required	O
:	O

Expertise	B-EXPERIENCE
with	I-EXPERIENCE
SQL	I-EXPERIENCE
and	I-EXPERIENCE
data	I-EXPERIENCE
visualization	I-EXPERIENCE
tools	O
(	O
e.g.	O
,	O
Tableau	B-TOOL
,	O
Mode	B-TOOL
,	O
Databricks	B-TOOL
)	O

Ability	O
to	O
join	O
multiple	O
tables	O
and	O
data	O
sources	O
into	O
an	O
aggregated	O
form	O
that	O
drives	O
business	O
understanding	O

Ability	O
to	O
design	O
and	O
execute	O
complex	O
A	O
/	O
B	O
tests	O
and	O
statistical	O
experiments	O
on	O
large	O
datasets	O

Experience	B-EXPERIENCE
with	I-EXPERIENCE
a	I-EXPERIENCE
scripting	I-EXPERIENCE
language	I-EXPERIENCE
(	O
Python	B-TOOL
,	O
R	B-TOOL
,	O
and/or	O
Spark	B-TOOL
)	O
and	O
respective	O
data	O
analysis	O
libraries	O

Eagerness	O
to	O
improve	O
our	O
data	O
infrastructure	O
and	O
how	O
we	O
report	O
analytics	O
to	O
the	O
broader	O
organization	O

Comfort	O
using	O
descriptive	O
statistics	O

Curiosity	O
of	O
how	O
things	O
work	O
,	O
from	O
both	O
a	O
business	O
and	O
technical	O
perspective	O

A	O
collaborative	B-NON TECHINICAL SKILL
growth	I-NON TECHINICAL SKILL
mindset	I-NON TECHINICAL SKILL
with	O
a	O
dedication	B-NON TECHINICAL SKILL
to	I-NON TECHINICAL SKILL
community	I-NON TECHINICAL SKILL
-	O
based	B-EXPERIENCE
projects	I-EXPERIENCE
and	I-EXPERIENCE
partnerships	I-EXPERIENCE

Experience	B-EXPERIENCE
working	I-EXPERIENCE
on	I-EXPERIENCE
data	I-EXPERIENCE
related	O
to	O
finance	O
and/or	O
subscription	O
business	O
models	O
is	O
